date,total_quantity,total_amount,max_amount,min_amount,mean
2024-08-07,1535,4716210,4630,1910,3072
2024-08-09,1831,6121180,5000,2010,3343
2024-08-12,2523,6499980,4300,1400,2576
2024-08-14,2212,6415770,5810,1000,2900
2024-08-16,1874,5434770,5000,1000,2900
2024-08-19,2608,8368750,4450,1260,3209
2024-08-21,2439,8860180,4730,1580,3633
2024-08-23,1825,8009230,5670,1530,4389
2024-08-26,2904,10415540,5000,1590,3587
2024-08-28,1721,6309680,5000,2030,3666
2024-08-30,1377,4996090,5000,1310,3628
2024-09-02,1354,6900420,6130,3000,5096
2024-09-04,1524,9601110,8300,2580,6300
2024-09-06,2662,17126490,8650,3700,6434
2024-09-09,3703,22896350,8300,2200,6183
2024-09-11,2773,15863600,8600,3030,5721
2024-09-13,2707,13099420,8900,930,4839
2024-09-20,2290,12520830,7000,1520,5468
2024-09-23,1645,9602100,7000,3030,5837
2024-09-25,1588,7864190,7000,2030,4952
2024-09-27,1942,9949030,7000,2250,5123
2024-09-30,2128,7762470,6130,2200,3648
2025-07-01,80,240000,3000,3000,3000
2025-07-02,1573,5398960,4600,2430,3432
2025-07-03,30,105000,3500,3500,3500
2025-07-04,1724,5944190,5000,1830,3448
2025-07-05,160,401600,2510,2510,2510
2025-07-07,1138,4777670,5430,2500,4198
2025-07-09,1342,7323030,7000,3610,5457
2025-07-11,1780,8176090,7000,1930,4593
2025-07-12,32,67200,2100,2100,2100
2025-07-14,1545,7298820,6340,2930,4724
2025-07-16,568,3705940,7450,5000,6525
2025-07-18,1489,8216510,7000,3920,5518
2025-07-19,60,204000,3400,3400,3400
2025-07-21,2087,7662130,5110,2000,3671
2025-07-23,1532,5690650,4780,2000,3715
2025-07-25,1535,4740030,4100,2000,3088
2025-07-26,60,210000,3500,3500,3500
2025-07-28,1108,3652880,4280,2350,3297
2025-07-30,813,2802370,3930,1900,3447
2025-08-01,1331,7176210,7000,3150,5392
2025-08-04,1619,5380150,4650,2000,3323
2025-08-05,62,186000,3000,3000,3000
2025-08-06,864,3079670,5000,1560,3564
2025-08-08,870,2999040,5000,1450,3447
2025-08-09,36,54000,1500,1500,1500
2025-08-11,1203,6724730,7000,3710,5590
2025-08-13,1213,6950390,6650,3960,5730
2025-08-15,1171,6473470,6620,3530,5528
2025-08-18,1931,7345570,5670,2030,3804
2025-08-19,40,80400,2010,2010,2010
2025-08-20,1855,5400090,3880,2000,2911
2025-08-21,64,115200,1800,1800,1800
2025-08-22,2015,5315430,4030,1010,2638
2025-08-23,40,85200,2130,2130,2130
2025-08-25,2303,6134080,3700,1000,2664
2025-08-27,1905,5833140,4200,960,3062
2025-08-29,2105,6790820,4100,1930,3226
2025-09-01,2808,8004470,3900,1030,2851
2025-09-03,1239,5071500,5740,1190,4093
2025-09-05,2656,10358890,5110,2610,3900
2025-09-06,68,212000,3200,3000,3118
2025-09-08,1930,6065480,4330,1470,3143
2025-09-09,119,217900,2000,1700,1831
2025-09-10,2013,5536210,3900,1000,2750
2025-09-11,108,183600,1700,1700,1700
2025-09-12,2555,6607780,3930,1070,2586
2025-09-13,65,97500,1500,1500,1500
2025-09-15,3366,8073240,3530,1260,2398
2025-09-16,140,198000,2000,1000,1414
2025-09-17,2347,5265610,5000,1380,2244
2025-09-18,100,184000,2000,1600,1840
2025-09-19,1827,4951360,5000,920,2710
2025-09-20,30,45000,1500,1500,1500
2025-09-22,2705,7193830,5290,1500,2659
2025-09-24,2285,7549860,4700,2010,3304
2025-09-26,2425,10233720,5670,2980,4220
2025-09-29,3823,14435260,5880,1800,3776
